Age,AgeGroup,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Sex,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
35,25-54,Travel_Rarely,890,Human Resources Management,2,3,Finance,4,Female,97,3,1,Training and Development Officer,4,Married,2014,9687,1,0,13,3,1,2,3,3,2,2,2,2,0
36,25-54,Travel_Rarely,852,Compliance Audit Division,5,4,Accounting,2,Female,82,2,1,Audit Assistant,1,Married,3419,13072,9,1,14,3,4,6,3,4,1,1,0,0,0
33,25-54,Travel_Frequently,1141,Human Resources Management,1,3,Business Administration,3,Female,42,4,2,Recruitment Officer,1,Married,5376,3193,2,0,19,3,1,10,3,3,5,3,1,3,0
35,25-54,Travel_Rarely,464,Compliance Audit Division,4,2,Finance,3,Male,75,3,1,Quality Assurance Officer,4,Divorced,1951,10910,1,0,12,3,3,1,3,3,1,0,0,0,0
27,25-54,Travel_Rarely,1240,Compliance Audit Division,2,4,Finance,4,Female,33,3,1,Quality Assurance Officer,1,Divorced,2341,19715,1,0,13,3,4,1,6,3,1,0,0,0,0
26,25-54,Travel_Rarely,1357,Compliance Audit Division,25,3,Finance,1,Male,48,1,1,Audit Assistant,3,Single,2293,10558,1,0,12,3,3,1,2,2,1,0,0,1,1
27,25-54,Travel_Frequently,994,Human Resources Management,8,3,Life Sciences,4,Male,37,3,3,Recruitment Officer,3,Single,8726,2975,1,0,15,3,4,9,0,3,9,8,1,7,0
30,25-54,Travel_Frequently,721,Compliance Audit Division,1,2,Risk Management,3,Female,58,3,2,Audit Assistant,4,Single,4011,10781,1,0,23,4,4,12,2,3,12,8,3,7,0
41,25-54,Travel_Rarely,1360,Compliance Audit Division,12,3,Auditing,2,Female,49,3,5,Quality Assurance Officer,3,Married,19545,16280,1,0,12,3,4,23,0,3,22,15,15,8,1
34,25-54,Non-Travel,1065,Human Resources Management,23,4,Marketing,2,Male,72,3,2,Recruitment Officer,3,Single,4568,10034,0,0,20,4,3,10,2,3,9,5,8,7,0
37,25-54,Travel_Rarely,408,Compliance Audit Division,19,2,Auditing,2,Male,73,3,1,Audit Assistant,2,Married,3022,10227,4,0,21,4,1,8,1,3,1,0,0,0,0
46,25-54,Travel_Frequently,1211,General Services,5,4,Business Administration,1,Male,98,3,2,General Services Manager,4,Single,5772,20445,4,1,21,4,3,14,4,3,9,6,0,8,0
35,25-54,Travel_Rarely,1229,Compliance Audit Division,8,1,Auditing,4,Male,36,4,1,Risk and Control Analyst,4,Married,2269,4892,1,0,19,3,4,1,2,3,1,0,0,1,0
48,25-54,Travel_Rarely,626,Compliance Audit Division,1,2,Auditing,1,Male,98,2,3,Risk and Control Analyst,3,Single,5381,19294,9,1,13,3,4,23,2,3,1,0,0,0,1
28,25-54,Travel_Rarely,1434,Compliance Audit Division,5,4,Finance,3,Male,50,3,1,Risk and Control Analyst,3,Single,3441,11179,1,1,13,3,3,2,3,2,2,2,2,2,1
44,25-54,Travel_Rarely,1488,General Services,1,5,Office Management,2,Female,75,3,2,Administrative Officer,1,Divorced,5454,4009,5,1,21,4,3,9,2,2,4,3,1,3,0
35,25-54,Non-Travel,1097,Compliance Audit Division,11,2,Finance,3,Male,79,2,3,Risk and Control Analyst,1,Married,9884,8302,2,1,13,3,3,10,3,3,4,0,2,3,0
26,25-54,Travel_Rarely,1443,General Services,23,3,Public Administration,3,Female,47,2,2,Procurement Officer,4,Married,4157,21436,7,1,19,3,3,5,2,2,2,2,0,0,0
33,25-54,Travel_Frequently,515,Compliance Audit Division,1,2,Accounting,1,Female,98,3,3,Compliance Officer,4,Single,13458,15146,1,1,12,3,3,15,1,3,15,14,8,12,0
35,25-54,Travel_Frequently,853,General Services,18,5,Business Administration,2,Male,71,3,3,Utilities & Maintenance Staff,1,Married,9069,11031,1,0,22,4,4,9,3,2,9,8,1,8,0
35,25-54,Travel_Rarely,1142,Compliance Audit Division,23,4,Accounting,3,Female,30,3,1,Audit Assistant,1,Married,4014,16002,3,1,15,3,3,4,3,3,2,2,2,2,0
31,25-54,Travel_Rarely,655,Compliance Audit Division,7,4,Accounting,4,Male,48,3,2,Audit Assistant,4,Divorced,5915,9528,3,0,22,4,4,10,3,2,7,7,1,7,0
37,25-54,Travel_Rarely,1115,Compliance Audit Division,1,4,Accounting,1,Male,51,2,2,Audit Assistant,3,Divorced,5993,2689,1,0,18,3,3,7,2,4,7,5,0,7,0
32,25-54,Travel_Rarely,427,Compliance Audit Division,1,3,Accounting,1,Male,33,3,2,Audit Assistant,4,Married,6162,10877,1,1,22,4,2,9,3,3,9,8,7,8,0
38,25-54,Travel_Frequently,653,Compliance Audit Division,29,5,Auditing,4,Female,50,3,2,Audit Assistant,4,Single,2406,5456,1,0,11,3,4,10,2,3,10,3,9,9,0
50,25-54,Travel_Rarely,989,Compliance Audit Division,7,2,Risk Management,2,Female,43,2,5,Compliance Officer,3,Divorced,18740,16701,5,1,12,3,4,29,2,2,27,3,13,8,0
59,55-64,Travel_Rarely,1435,General Services,25,3,Office Management,1,Female,99,3,3,Utilities & Maintenance Staff,1,Single,7637,2354,7,0,11,3,4,28,3,2,21,16,7,9,0
36,25-54,Travel_Rarely,1223,Compliance Audit Division,8,3,Accounting,3,Female,59,3,3,Audit Assistant,3,Divorced,10096,8202,1,0,13,3,2,17,2,3,17,14,12,8,0
55,55-64,Travel_Rarely,836,Compliance Audit Division,8,3,Accounting,4,Female,33,3,4,Internal Auditor,3,Divorced,14756,19730,2,1,14,3,3,21,2,3,5,0,0,2,0
36,25-54,Travel_Frequently,1195,Compliance Audit Division,11,3,Finance,2,Male,95,2,2,Audit Assistant,2,Single,6499,22656,1,0,13,3,3,6,3,3,6,5,0,3,0
45,25-54,Travel_Rarely,1339,Compliance Audit Division,7,3,Auditing,2,Male,59,3,3,Audit Assistant,1,Divorced,9724,18787,2,0,17,3,3,25,2,3,1,0,0,0,0
35,25-54,Travel_Frequently,664,Compliance Audit Division,1,3,Finance,2,Male,79,3,1,Audit Assistant,1,Married,2194,5868,4,0,13,3,4,5,2,2,3,2,1,2,0
36,25-54,Travel_Rarely,318,Compliance Audit Division,9,3,Finance,4,Male,79,2,1,Audit Assistant,3,Married,3388,21777,0,1,17,3,1,2,0,2,1,0,0,0,1
59,55-64,Travel_Frequently,1225,General Services,1,1,Public Administration,1,Female,57,2,2,Utilities & Maintenance Staff,3,Single,5473,24668,7,0,11,3,4,20,2,2,4,3,1,3,0
29,25-54,Travel_Rarely,1328,Compliance Audit Division,2,3,Finance,3,Male,76,3,1,Audit Assistant,2,Married,2703,4956,0,0,23,4,4,6,3,3,5,4,0,4,0
31,25-54,Travel_Rarely,1082,Compliance Audit Division,1,4,Auditing,3,Male,87,3,1,Audit Assistant,2,Single,2501,18775,1,0,17,3,2,1,4,3,1,1,1,0,0
32,25-54,Travel_Rarely,548,Compliance Audit Division,1,3,Auditing,2,Male,66,3,2,Audit Assistant,2,Married,6220,7346,1,0,17,3,2,10,3,3,10,4,0,9,0
36,25-54,Travel_Rarely,132,Compliance Audit Division,6,3,Finance,2,Female,55,4,1,Audit Assistant,4,Married,3038,22002,3,0,12,3,2,5,3,3,1,0,0,0,0
31,25-54,Travel_Rarely,746,Compliance Audit Division,8,4,Finance,3,Female,61,3,2,Audit Assistant,4,Single,4424,20682,1,0,23,4,4,11,2,3,11,7,1,8,0
35,25-54,Travel_Rarely,776,General Services,1,4,Business Administration,3,Male,32,2,2,Office Support Staff,1,Single,4312,23016,0,0,14,3,2,16,2,3,15,13,2,8,0
45,25-54,Travel_Rarely,193,Compliance Audit Division,6,4,Office Management,4,Male,52,3,3,Quality Assurance Officer,1,Married,13245,15067,4,1,14,3,2,17,3,4,0,0,0,0,0
37,25-54,Travel_Rarely,397,Compliance Audit Division,7,4,Public Administration,1,Male,30,3,3,Quality Assurance Officer,3,Single,13664,25258,4,0,13,3,1,16,3,4,5,2,0,2,0
46,25-54,Travel_Rarely,945,Compliance Audit Division,5,2,Business Administration,2,Male,80,3,2,Quality Assurance Officer,2,Divorced,5021,10425,8,1,22,4,4,16,2,3,4,2,0,2,0
30,25-54,Travel_Rarely,852,Compliance Audit Division,1,1,Office Management,4,Male,55,2,2,Quality Assurance Officer,4,Married,5126,15998,1,1,12,3,3,10,1,2,10,8,3,0,0
35,25-54,Travel_Rarely,1214,Compliance Audit Division,1,3,Public Administration,2,Male,30,2,1,Quality Assurance Officer,3,Single,2859,26278,1,0,18,3,1,6,3,3,6,4,0,4,0
55,55-64,Travel_Rarely,111,General Services,1,2,Office Management,1,Male,70,3,3,Office Support Staff,4,Married,10239,18092,3,0,14,3,4,24,4,3,1,0,1,0,0
38,25-54,Non-Travel,573,Compliance Audit Division,6,3,Accounting,2,Female,79,1,2,Quality Assurance Officer,4,Divorced,5329,15717,7,1,12,3,4,17,3,3,13,11,1,9,0
34,25-54,Travel_Rarely,1153,Compliance Audit Division,1,2,Accounting,1,Male,94,3,2,Risk and Control Analyst,2,Married,4325,17736,1,0,15,3,3,5,2,3,5,2,1,3,0
56,55-64,Travel_Rarely,1400,Compliance Audit Division,7,3,Accounting,4,Male,49,1,3,Risk and Control Analyst,4,Single,7260,21698,4,0,11,3,1,37,3,2,6,4,0,2,0
23,15-24,Travel_Rarely,541,General Services,2,1,Public Administration,3,Male,62,3,1,Office Support Staff,1,Divorced,2322,9518,3,0,13,3,3,3,3,3,0,0,0,0,0
51,25-54,Travel_Rarely,432,Compliance Audit Division,9,4,Accounting,4,Male,96,3,1,Audit Assistant,4,Married,2075,18725,3,0,23,4,2,10,4,3,4,2,0,3,0
30,25-54,Travel_Rarely,288,Compliance Audit Division,2,3,Accounting,3,Male,99,2,2,Audit Assistant,4,Married,4152,15830,1,0,19,3,1,11,3,3,11,10,10,8,0
46,25-54,Travel_Rarely,669,General Services,9,2,Business Administration,3,Male,64,2,3,Procurement Officer,4,Single,9619,13596,1,0,16,3,4,9,3,3,9,8,4,7,1
40,25-54,Travel_Frequently,530,Compliance Audit Division,1,4,Auditing,3,Male,78,2,4,Internal Auditor,2,Married,13503,14115,1,0,22,4,4,22,3,2,22,3,11,11,0
51,25-54,Travel_Rarely,632,General Services,21,4,Public Administration,3,Male,71,3,2,Office Support Staff,4,Single,5441,8423,0,1,22,4,4,11,2,1,10,7,1,0,0
30,25-54,Travel_Rarely,1334,General Services,4,2,Business Administration,3,Female,63,2,2,Office Support Staff,2,Divorced,5209,19760,1,1,12,3,2,11,4,2,11,8,2,7,0
46,25-54,Travel_Frequently,638,Compliance Audit Division,1,3,Auditing,3,Male,40,2,3,Quality Assurance Officer,1,Married,10673,3142,2,1,13,3,3,21,5,2,10,9,9,5,0
32,25-54,Travel_Rarely,1093,General Services,6,4,Business Administration,2,Male,87,3,2,Office Support Staff,3,Single,5010,24301,1,0,16,3,1,12,0,3,11,8,5,7,0
54,25-54,Travel_Rarely,1217,Compliance Audit Division,2,4,Auditing,1,Female,60,3,3,Risk and Control Analyst,3,Married,13549,24001,9,0,12,3,1,16,5,1,4,3,0,3,0
24,15-24,Travel_Rarely,1353,General Services,3,2,Business Administration,1,Female,33,3,2,Supply Officer,3,Married,4999,17519,0,0,21,4,1,4,2,2,3,2,0,2,0
28,25-54,Non-Travel,120,General Services,4,3,Office Management,2,Male,43,3,2,Procurement Officer,3,Married,4221,8863,1,0,15,3,2,5,3,4,5,4,0,4,0
58,55-64,Travel_Rarely,682,General Services,10,4,Public Administration,4,Male,37,3,4,Procurement Officer,3,Single,13872,24409,0,0,13,3,3,38,1,2,37,10,1,8,0
44,25-54,Non-Travel,489,Compliance Audit Division,23,3,Business Administration,2,Male,67,3,2,Risk and Control Analyst,2,Married,2042,25043,4,0,12,3,3,17,3,4,3,2,1,2,0
37,25-54,Travel_Rarely,807,Compliance Audit Division,6,4,Finance,3,Male,63,3,1,Quality Assurance Officer,1,Divorced,2073,23648,4,1,22,4,4,7,3,3,3,2,0,2,1
32,25-54,Travel_Rarely,827,Compliance Audit Division,1,1,Finance,4,Male,71,3,1,Quality Assurance Officer,1,Single,2956,15178,1,0,13,3,4,1,2,3,1,0,0,0,0
23,15-24,Travel_Frequently,871,Compliance Audit Division,6,3,Finance,4,Female,66,2,1,Quality Assurance Officer,4,Single,2926,19783,1,1,18,3,2,1,5,3,1,0,1,0,1
34,25-54,Travel_Rarely,665,Compliance Audit Division,6,4,Risk Management,1,Female,41,3,2,Quality Assurance Officer,3,Single,4809,12482,1,0,14,3,3,16,3,3,16,13,2,10,0
37,25-54,Non-Travel,1040,Compliance Audit Division,2,2,Risk Management,3,Male,100,2,2,Quality Assurance Officer,4,Divorced,5163,15850,5,0,14,3,4,17,2,4,1,0,0,0,0
59,55-64,Non-Travel,1420,Human Resources Management,2,4,Human Resources,3,Female,32,2,5,Training and Development Officer,4,Married,18844,21922,9,0,21,4,4,30,3,3,3,2,2,2,0
50,25-54,Travel_Frequently,1115,Compliance Audit Division,1,3,Risk Management,1,Female,73,3,5,Compliance Officer,2,Married,18172,9755,3,1,19,3,1,28,1,2,8,3,0,7,0
25,25-54,Travel_Rarely,240,General Services,5,3,Public Administration,3,Male,46,2,2,Procurement Officer,3,Single,5744,26959,1,1,11,3,4,6,1,3,6,4,0,3,1
25,25-54,Travel_Rarely,1280,Compliance Audit Division,7,1,Risk Management,4,Male,64,2,1,Audit Assistant,4,Married,2889,26897,1,0,11,3,3,2,2,3,2,2,2,1,0
22,15-24,Travel_Rarely,534,Compliance Audit Division,15,3,Auditing,2,Female,59,3,1,Risk and Control Analyst,4,Single,2871,23785,1,0,15,3,3,1,5,3,0,0,0,0,0
51,25-54,Travel_Frequently,1456,Compliance Audit Division,1,4,Finance,1,Female,30,2,3,Audit Assistant,1,Single,7484,25796,3,0,20,4,3,23,1,2,13,12,12,8,0
34,25-54,Travel_Frequently,658,Compliance Audit Division,7,3,Finance,1,Male,66,1,2,Audit Assistant,3,Single,6074,22887,1,1,24,4,4,9,3,3,9,7,0,6,1
54,25-54,Non-Travel,142,Human Resources Management,26,3,Human Resources,4,Female,30,4,4,Payroll & Benefits Officer,4,Single,17328,13871,2,1,12,3,3,23,3,3,5,3,4,4,0
24,15-24,Travel_Rarely,1127,Compliance Audit Division,18,1,Accounting,2,Male,52,3,1,Quality Assurance Officer,3,Married,2774,13257,0,0,12,3,3,6,2,3,5,3,1,2,0
34,25-54,Travel_Rarely,1031,Compliance Audit Division,6,4,Accounting,3,Female,45,2,2,Quality Assurance Officer,2,Divorced,4505,15000,6,0,15,3,3,12,3,3,1,0,0,0,0
37,25-54,Travel_Rarely,1189,General Services,3,3,Business Administration,3,Male,87,3,3,Supply Officer,4,Single,7428,14506,2,0,12,3,1,12,3,3,5,3,1,3,0
34,25-54,Travel_Rarely,1354,Compliance Audit Division,5,3,Auditing,3,Female,45,2,3,Risk and Control Analyst,1,Single,11631,5615,2,0,12,3,4,14,6,3,11,10,5,8,0
36,25-54,Travel_Frequently,1467,General Services,11,2,Business Administration,2,Female,92,3,3,Utilities & Maintenance Staff,4,Married,9738,22952,0,0,14,3,3,10,6,3,9,7,2,8,0
36,25-54,Travel_Rarely,922,Compliance Audit Division,3,2,Auditing,1,Female,39,3,1,Audit Assistant,4,Divorced,2835,2561,5,0,22,4,1,7,2,3,1,0,0,0,0
43,25-54,Travel_Frequently,394,General Services,26,2,Office Management,3,Male,92,3,4,Office Support Staff,4,Married,16959,19494,1,1,12,3,4,25,3,4,25,12,4,12,0
30,25-54,Travel_Frequently,1312,Compliance Audit Division,23,3,auditing,1,Male,96,1,1,Risk and Control Analyst,3,Divorced,2613,22310,1,0,25,4,3,10,2,2,10,7,0,9,0
33,25-54,Non-Travel,750,General Services,22,2,Office Management,3,Male,95,3,2,Office Support Staff,2,Married,6146,15480,0,0,13,3,1,8,2,4,7,7,0,7,0
56,55-64,Travel_Rarely,441,Property Operations,14,4,Property Management,2,Female,72,3,1,Property Operations Staff,2,Married,4963,4510,9,1,18,3,1,7,2,3,5,4,4,3,1
51,25-54,Travel_Rarely,684,Property Operations,6,3,Real Estate,1,Male,51,3,5,Property Operations Manager,3,Single,19537,6462,7,0,13,3,3,23,5,3,20,18,15,15,0
31,25-54,Travel_Rarely,249,General Services,6,4,Public Administration,2,Male,76,1,2,Office Support Staff,3,Married,6172,20739,4,1,18,3,2,12,3,2,7,7,7,7,1
26,25-54,Travel_Rarely,841,Property Operations,6,3,Facilities Management,3,Female,46,2,1,Property Operations Staff,2,Married,2368,23300,1,0,19,3,3,5,3,2,5,4,4,3,0
58,55-64,Travel_Rarely,147,Property Operations,23,4,Property Management,4,Female,94,3,3,Housekeeping Supervisor,4,Married,10312,3465,1,0,12,3,4,40,3,2,40,10,15,6,1
22,15-24,Travel_Rarely,528,General Services,22,1,Public Administration,4,Male,50,3,1,Office Support Staff,3,Single,1675,26820,1,1,19,3,4,0,2,2,0,0,0,0,1
22,15-24,Travel_Rarely,594,Property Operations,2,1,Property Management,3,Male,100,3,1,Utilities & Equipment Technician,4,Married,2523,19299,0,0,14,3,3,3,2,3,2,1,2,1,0
49,25-54,Travel_Rarely,470,Property Operations,20,4,Property Management,3,Female,96,3,2,Utilities & Equipment Technician,1,Married,6567,5549,1,0,14,3,3,16,2,2,15,11,5,11,0
43,25-54,Travel_Frequently,957,Property Operations,28,3,Real Estate,2,Female,72,4,1,Utilities & Equipment Technician,3,Single,4739,16090,4,0,12,3,4,18,2,3,3,2,1,2,0
50,25-54,Travel_Frequently,809,General Services,12,3,Office Management,3,Female,77,3,3,Office Support Staff,4,Single,9208,6645,4,0,11,3,4,16,3,3,2,2,2,1,0
31,25-54,Travel_Rarely,542,General Services,20,3,Office Management,2,Female,71,1,2,Office Support Staff,3,Married,4559,24788,3,1,11,3,3,4,2,3,2,2,2,2,1
41,25-54,Travel_Rarely,802,General Services,9,1,Public Administration,3,Male,96,3,3,Supply Officer,3,Divorced,8189,21196,3,1,13,3,3,12,2,3,9,7,0,7,0
26,25-54,Travel_Rarely,1355,Human Resources Management,25,1,Life Sciences,3,Female,61,3,1,Human Resources,3,Married,2942,8916,1,0,23,4,4,8,3,3,8,7,5,7,0
36,25-54,Travel_Rarely,216,Property Operations,6,2,Real Estate,2,Male,84,3,2,Property Staff,2,Divorced,4941,2819,6,0,20,4,4,7,0,3,3,2,0,1,0
51,25-54,Travel_Frequently,1150,Property Operations,8,4,Facilities Management,1,Male,53,1,3,Property Staff,4,Single,10650,25150,2,0,15,3,4,18,2,3,4,2,0,3,1
39,25-54,Travel_Rarely,1329,General Services,4,4,Public Administration,4,Female,47,2,2,Office Support Staff,3,Married,5902,14590,4,0,14,3,3,17,1,4,15,11,5,9,0
25,25-54,Travel_Rarely,959,General Services,28,3,Office Management,1,Male,41,2,2,Office Support Staff,3,Married,8639,24835,2,0,18,3,4,6,3,3,2,2,2,2,0
30,25-54,Travel_Rarely,1240,Human Resources Management,9,3,Human Resources,3,Male,48,3,2,Training and Development Officer,4,Married,6347,13982,0,1,19,3,4,12,2,1,11,9,4,7,0
32,25-54,Travel_Rarely,1033,Property Operations,9,3,Facilities Management,1,Female,41,3,1,Property Staff,1,Single,4200,10224,7,0,22,4,1,10,2,4,5,4,0,4,1
45,25-54,Travel_Rarely,1316,Property Operations,29,3,Facilities Management,3,Male,83,3,1,Property Staff,4,Single,3452,9752,5,0,13,3,2,9,2,2,6,5,0,3,0
38,25-54,Travel_Rarely,364,Property Operations,3,5,Real Estate,4,Female,32,3,2,Property Staff,3,Single,4317,2302,3,1,20,4,2,19,2,3,3,2,2,2,0
30,25-54,Travel_Rarely,438,Property Operations,18,3,Real Estate,1,Female,75,3,1,Property Staff,3,Single,2632,23910,1,0,14,3,3,5,4,2,5,4,0,4,0
32,25-54,Travel_Frequently,689,General Services,9,2,Office Management,4,Male,35,1,2,Utilities & Maintenance Staff,4,Divorced,4668,22812,0,0,17,3,4,9,2,4,8,7,0,7,0
30,25-54,Travel_Rarely,201,Property Operations,5,3,Real Estate,4,Female,84,3,1,Leasing Officer,1,Divorced,3204,10415,5,0,14,3,4,8,3,3,3,2,2,2,0
